datetime,trade_id,product_id,best_bid,best_ask
2020-01-08 01:40:57.952183,80736378,BTC-USD,8405.15,8407.46
2020-01-08 01:41:01.430744,80736379,BTC-USD,8402.58,8406.09
2020-01-08 01:41:01.430744,80736380,BTC-USD,8401.78,8406.09
2020-01-08 01:41:01.430744,80736381,BTC-USD,8401.78,8406.09
2020-01-08 01:41:01.859044,80736382,BTC-USD,8401.90,8405.95
2020-01-08 01:41:01.859044,80736383,BTC-USD,8401.90,8405.95
2020-01-08 01:41:02.140816,80736384,BTC-USD,8403.16,8405.89
2020-01-08 01:41:03.177081,80736385,BTC-USD,8403.46,8407.97
2020-01-08 01:42:13.224964,80736486,BTC-USD,8389.01,8391.40
2020-01-08 01:42:17.323184,80736487,BTC-USD,8389.14,8392.40
2020-01-08 01:42:17.617805,80736488,BTC-USD,8390.08,8393.96
2020-01-08 01:42:21.223397,80736489,BTC-USD,8390.01,8393.57
2020-01-08 01:42:26.516924,80736490,BTC-USD,8391.55,8394.24
2020-01-08 01:42:26.516924,80736491,BTC-USD,8391.55,8394.24
2020-01-08 01:42:28.539394,80736492,BTC-USD,8394.99,8398.00
2020-01-08 01:42:28.539394,80736493,BTC-USD,8394.99,8398.00
2020-01-08 01:42:28.675943,80736494,BTC-USD,8395.02,8397.96
2020-01-08 01:42:29.219584,80736495,BTC-USD,8395.81,8398.00
2020-01-08 01:42:32.040398,80736496,BTC-USD,8396.89,8398.00
2020-01-08 01:42:32.819227,80736497,BTC-USD,8396.92,8398.00
2020-01-08 01:42:34.044021,80736498,BTC-USD,8397.99,8399.99
2020-01-08 01:42:34.044021,80736499,BTC-USD,8397.99,8399.99
2020-01-08 01:42:34.891980,80736500,BTC-USD,8398.01,8399.94
2020-01-08 01:44:41.292962,80736652,BTC-USD,8386.01,8390.47
2020-01-08 01:44:42.422675,80736653,BTC-USD,8387.84,8392.78
2020-01-08 01:44:43.377100,80736654,BTC-USD,8389.86,8392.01
2020-01-08 01:44:43.953026,80736655,BTC-USD,8389.93,8393.29
